congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2
97,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911,2004,0.692,-0.713
97,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008,0.398,-0.057
97,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,,0.177,0.161
97,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005,-0.213,0.976
97,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988,-0.042,0.872
97,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937,,-0.175,0.834
97,House,14659,41,7,AL,100,0,1,"SHELBY, Richard C.",S000320,1934,,0.013,0.658
97,House,14862,41,6,AL,200,0,1,"SMITH, Albert Lee, Jr.",S000514,1931,1997,0.461,0.132
97,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022
97,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003,0.225,-0.033
97,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998,-0.387,0.008
97,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920,2002,0.422,0.611
97,House,94454,61,3,AZ,100,0,1,"STUMP, Robert Lee",S001044,1927,2003,0.329,0.944
97,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015,0.253,0.239
97,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819
97,House,14601,42,4,AR,100,0,1,"ANTHONY, Beryl Franklin, Jr.",A000213,1938,,-0.254,0.484
97,House,14606,42,2,AR,200,0,1,"BETHUNE, Edwin Ruthvin, Jr.",B000422,1935,,0.304,-0.165
97,House,10553,71,26,CA,200,0,1,"ROUSSELOT, John Harbin",R000469,1927,2003,0.601,0.164
97,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999,-0.506,-0.028
97,House,10577,71,6,CA,100,0,1,"BURTON, Phillip",B001156,1926,1983,-0.634,-0.304
97,House,10579,71,2,CA,200,0,1,"CLAUSEN, Donald Holst",C000475,1923,2015,0.16,0.036
97,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915,2015,-0.599,-0.419
97,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907,2007,-0.517,-0.369
97,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916,2005,-0.61,-0.141
